"CHART","CU_NAME","STREET","CITY","STATE","ZIP_CODE","CEO-MGR","PHONE","Assets","Loans","NetWorth","ShareGrowth","LoanGrowth","LnsAssets","InvAssets","Members","FullTime"
"16500","ACIPCO","PO Box 2727","Birmingham","AL","35202","HARRELL, MIKE","2053284371",134824576.00,93272398.00,9.56,2.55,-1.02,69.18,27.35,7360.00,16.00
"60823","ALABAMA","P. O. Box 862998","Tuscaloosa","AL","35486 - 2998","SWOFFORD, STEPHEN","2053485944",479312263.00,198417764.00,9.21,16.60,5.95,41.40,50.97,46346.00,135.00
"60712","ALABAMA CENTRAL","3601 4th Ave S","Birmingham","AL","35222","BLANKENSHIP, PHILLIP","2055101300",124585958.00,93568896.00,7.96,-2.13,-6.26,75.10,17.01,24627.00,51.00
"68595","ALABAMA ONE","1215 Veterans Memorial Parkway","Tuscaloosa","AL","35404","CARRUTH, JOHN DEE","2057591595",598144710.00,318156469.00,10.85,6.14,-3.84,53.19,41.74,56986.00,140.00
"64645","ALABAMA POSTAL","P> O> Box 11627","Birmingham","AL","35202","MCGILL, SARA","2052524812",6798105.00,4342858.00,26.82,6.79,-.50,63.88,38.95,811.00,3.00
"65402","ALABAMA RIVER","PO Box 907","MONROEVILLE","AL","36461","DOWNING, SHARON","2515752921",14153635.00,4537586.00,13.85,-1.51,2.21,32.06,58.39,1488.00,5.00
"68624","ALABAMA RURAL ELECTRIC","PO Box 240547","Montgomery","AL","36124","BOYSEN, JANE","3342157328",27340955.00,13709737.00,11.99,1.07,1.53,50.14,48.97,3658.00,6.00
"64598","ALABAMA STATE EMPLOYEES","PO Box 231150","Montgomery","AL","36123 - 1150","MCHENRY, NED","3342709011",195366761.00,71270138.00,11.41,5.22,-7.35,36.48,57.26,27221.00,72.00
"67252","ALABAMA TEACHERS","P O Box 1400","Gadsden","AL","35902","SUMMERALL, RON SUMMERALL","2565437040",213837372.00,154840174.00,11.16,7.46,6.93,72.41,23.95,19482.00,51.00
"68583","ALABAMA TELCO","PO Box 360287","Birmingham","AL","35236","CENCULA, LINDA","2059852828",573111373.00,329488237.00,10.24,10.18,-.99,57.49,35.68,54106.00,160.00
"61621","ALLIED","1225 Forest Avenue","Jackson","AL","36545","PERKINS, SUSAN","2512465178",13223107.00,6465654.00,22.69,.42,1.02,48.90,51.87,2002.00,4.00
"24534","AMERICA'S FIRST","P.O. Box 11349","Birmingham","AL","35203","CONNOR, BILL","2053204185",1207494112.00,688234254.00,9.56,9.57,-3.90,57.00,38.46,113174.00,265.00
"23990","ANDALUSIA MILLS EMPLOYEES CREDIT AS","200 Waits Dr","Andalusia","AL","36421","GANTT, TINA","3344273616",2763455.00,1315735.00,25.91,13.59,-4.46,47.61,52.04,1082.00,2.00
"11975","ANG","PO Box 170204","Birmingham","AL","35217 - 0204","HULSEY, HORACE","2058414525",19548450.00,7784081.00,7.54,9.03,-6.19,39.82,55.07,1931.00,6.00
"6680","AOD","PO BOX 608","BYNUM","AL","36253","REYNOLDS, KENNETH","2562379494",228914062.00,127836078.00,13.75,5.83,-13.12,55.84,37.27,30372.00,69.00
"62728","APCO EMPLOYEES","750 17th St N","Birmingham","AL","35203","MANN, MERRILL","2052266800",2129509795.00,449451474.00,9.83,8.59,3.98,21.11,76.08,63784.00,81.00
"17642","ARMY AVIATION CENTER","PO DRAWER 8","DALEVILLE","AL","36322","MITCHELL, JIM","3345984411",1033234995.00,313878609.00,11.09,9.39,-6.05,30.38,62.97,105819.00,301.00
"13867","AUBURN UNIVERSITY","PO BOX 1610","AUBURN","AL","36831 - 1610","ARMSTRONG, HENRY","3348444120",134096454.00,58791731.00,12.41,8.14,6.93,43.84,47.89,17496.00,25.00
"68224","AZALEA CITY","505 BOULEVARD PARK E","MOBILE","AL","36609","ANISE, OLABODE","2513160000",19068360.00,10271818.00,15.49,5.78,3.15,53.87,37.24,2954.00,11.00
